Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000244286	-	-	
ENSG00000244289	-	-	
ENSG00000244291	-	-	
ENSG00000244292	-	-	
ENSG00000244294	-	-	
ENSG00000244295	-	-	
ENSG00000244296	-	-	
ENSG00000244297	-	-	
ENSG00000244300	-	-	
ENSG00000244301	-	-	
ENSG00000244302	PEX5L-AS2	-	
ENSG00000244306	DUXAP10	-	
ENSG00000244307	-	-	
ENSG00000244308	-	-	
ENSG00000244310	-	-	
ENSG00000244313	-	-	
ENSG00000244314	-	-	
ENSG00000244318	-	-	
ENSG00000244321	-	-	
ENSG00000244326	-	-	
ENSG00000244327	-	-	
ENSG00000244328	-	-	
ENSG00000244329	-	-	
ENSG00000244331	-	-	
ENSG00000244332	-	-	
ENSG00000244335	-	-	
ENSG00000244337	-	-	
ENSG00000244342	LINC00698	-	
ENSG00000244345	-	-	
ENSG00000244346	-	-	
ENSG00000244349	-	-	
ENSG00000244355	LY6G6F-LY6G6D; LY6G6D	MEGT1; MEGT-1; G6F-LY6G6D; C6orf23; NG25; LY6-D; G6D	
ENSG00000244356	-	-	
ENSG00000244357	-	-	
ENSG00000244358	-	-	
ENSG00000244361	-	-	
ENSG00000244362	KRTAP19-7	KAP19.7	
ENSG00000244363	-	-	
ENSG00000244371	-	-	
ENSG00000244372	-	-	
ENSG00000244376	-	-	
ENSG00000244378	-	-	
ENSG00000244380	-	-	
ENSG00000244381	-	-	
ENSG00000244382	-	-	
ENSG00000244383	FAM3D-AS1	lnc-KCTD6-3	
ENSG00000244384	-	-	
ENSG00000244389	-	-	
ENSG00000244390	-	-	
ENSG00000244391	-	-	
ENSG00000244392	-	-	
ENSG00000244393	-	-	
ENSG00000244395	RBMY1D	RBM2; YRRM1; YRRM2; hRBMY; RBMY1A1; RBM1	
ENSG00000244398	-	-	
ENSG00000244399	-	-	
ENSG00000244400	-	-	
ENSG00000244402	-	-	
ENSG00000244404	-	-	
ENSG00000244405	ETV5	ERM	
ENSG00000244411	KRTAP5-7	KRTAP5-3; KRTAP5.7	
ENSG00000244413	-	-	
ENSG00000244414	CFHR1	CFHL1P; FHR-1; H36; HFL1; CFHL; HFL2; FHR1; H36-2; CFHL1; H36-1; CFHR1P	
ENSG00000244422	-	-	
ENSG00000244424	-	-	
ENSG00000244425	-	-	
ENSG00000244427	-	-	
ENSG00000244429	-	-	
ENSG00000244432	-	-	
ENSG00000244433	-	-	
ENSG00000244436	-	-	
ENSG00000244437	-	-	
ENSG00000244438	-	-	
ENSG00000244441	-	-	
ENSG00000244451	-	-	
ENSG00000244456	-	-	
ENSG00000244457	-	-	
ENSG00000244459	-	-	
ENSG00000244461	-	-	
ENSG00000244462	RBM12	SWAN; SCZD19; HRIHFB2091	
ENSG00000244464	-	-	
ENSG00000244468	-	-	
ENSG00000244470	-	-	
ENSG00000244471	-	-	
ENSG00000244474	UGT1A4	UGT1; UGT1-04; UGT1.1; hUG-BR1; UDPGT; UDPGT 1-4; UGT-1D; UGT1A; UGT1A4S; HUG-BR2; UGT1.4; UGT1A1; UGT1D; UGT-1A; UGT1-01; GNT1	
ENSG00000244476	ERVFRD-1	ERVFRDE1; HERV-FRD; HERV-W/FRD; GLLL6191; UNQ6191; envFRD	
ENSG00000244479	-	-	
ENSG00000244480	-	-	
ENSG00000244482	LILRA6	LILRB3; ILT8; ILT5; LILRB6; CD85b; ILT-8	
ENSG00000244485	-	-	
ENSG00000244486	SCARF2	SREC2; SRECRP-1; NSR1; SREC-II; VDEGS	
ENSG00000244490	-	-	
ENSG00000244491	-	-	
ENSG00000244493	-	-	
ENSG00000244501	-	-	
ENSG00000244502	HDAC11-AS1	-	
ENSG00000244503	-	-	
ENSG00000244509	APOBEC3C	ARDC2; ARDC4; ARP5; APOBEC1L; bK150C2.3; A3C; PBI	
ENSG00000244510	-	-	
ENSG00000244512	-	-	
ENSG00000244513	-	-	
ENSG00000244514	-	-	
ENSG00000244515	-	-	
ENSG00000244521	-	-	
ENSG00000244522	-	-	
ENSG00000244527	-	-	
ENSG00000244528	-	-	
ENSG00000244532	-	-	
ENSG00000244534	-	-	
ENSG00000244535	-	-	
ENSG00000244537	KRTAP4-2	KAP4.2; KRTAP4.2	
ENSG00000244538	-	-	
ENSG00000244540	-	-	
ENSG00000244541	LINC01213	-	
ENSG00000244544	-	-	
ENSG00000244545	-	-	
ENSG00000244550	-	-	
ENSG00000244551	-	-	
ENSG00000244556	-	-	
ENSG00000244558	-	-	
ENSG00000244559	-	-	
ENSG00000244560	-	-	
ENSG00000244561	-	-	
ENSG00000244563	-	-	
ENSG00000244564	PRICKLE2-DT	-	
ENSG00000244565	-	-	
ENSG00000244567	-	-	
ENSG00000244568	-	-	
ENSG00000244571	-	-	
ENSG00000244573	-	-	
ENSG00000244575	-	-	
ENSG00000244578	LINC01391	-	
ENSG00000244582	-	-	
ENSG00000244585	-	-	
ENSG00000244586	-	-	
ENSG00000244588	RAD21L1	RAD21L; dJ545L17.2	
ENSG00000244593	-	-	
ENSG00000244604	-	-	
ENSG00000244607	CCDC13	-	
ENSG00000244609	-	-	
ENSG00000244610	-	-	
ENSG00000244612	-	-	
ENSG00000244615	-	-	
ENSG00000244617	ASPRV1	ADLI; SASPase; Taps; SASP; MUNO	
ENSG00000244618	-	-	
ENSG00000244619	-	-	
ENSG00000244620	-	-	
ENSG00000244621	-	-	
ENSG00000244623	OR2AE1	OR2AE2	
