Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000235550	-	-	
ENSG00000235552	-	-	
ENSG00000235554	-	-	
ENSG00000235555	-	-	
ENSG00000235558	-	-	
ENSG00000235559	-	-	
ENSG00000235560	LOC107984875	-	
ENSG00000235563	-	-	
ENSG00000235564	-	-	
ENSG00000235565	-	-	
ENSG00000235566	-	-	
ENSG00000235568	NFAM1	CNAIP	
ENSG00000235570	LINC00533	C6orf38; C6orf39	
ENSG00000235571	-	-	
ENSG00000235572	-	-	
ENSG00000235573	-	-	
ENSG00000235574	-	-	
ENSG00000235575	-	-	
ENSG00000235576	-	-	
ENSG00000235578	-	-	
ENSG00000235579	-	-	
ENSG00000235581	-	-	
ENSG00000235582	-	-	
ENSG00000235583	-	-	
ENSG00000235584	-	-	
ENSG00000235586	-	-	
ENSG00000235587	-	-	
ENSG00000235590	GNAS-AS1	GNAS-AS; GNAS1AS; NESP-AS; SANG; NCRNA00075; NESPAS; GNASAS	
ENSG00000235592	-	-	
ENSG00000235593	RBMS3-AS1	-	
ENSG00000235594	-	-	
ENSG00000235595	-	-	
ENSG00000235597	-	-	
ENSG00000235598	-	-	
ENSG00000235601	BARX1-DT	BARX1-AS1	
ENSG00000235602	POU5F1P3	OTF3L; OTF3; Oct-3; Oct-4; OCT4; POU5FLC12; OCT4-pg3; OTF-3; OCT3; POU5F1; POU5F1L	
ENSG00000235604	-	-	
ENSG00000235605	-	-	
ENSG00000235606	-	-	
ENSG00000235608	NKX1-1	HSPX153; NKX-1.1; SAX2	
ENSG00000235609	-	-	
ENSG00000235610	-	-	
ENSG00000235612	-	-	
ENSG00000235613	-	-	
ENSG00000235615	-	-	
ENSG00000235616	-	-	
ENSG00000235617	-	-	
ENSG00000235618	FAM21EP	-	
ENSG00000235619	-	-	
ENSG00000235620	-	-	
ENSG00000235621	LINC00494	-	
ENSG00000235623	-	-	
ENSG00000235625	-	-	
ENSG00000235626	-	-	
ENSG00000235627	-	-	
ENSG00000235628	-	-	
ENSG00000235629	-	-	
ENSG00000235631	RNF148	-	
ENSG00000235635	-	-	
ENSG00000235636	-	-	
ENSG00000235637	-	-	
ENSG00000235638	-	-	
ENSG00000235639	-	-	
ENSG00000235640	-	-	
ENSG00000235641	-	-	
ENSG00000235642	-	-	
ENSG00000235643	LINC01647	-	
ENSG00000235644	-	-	
ENSG00000235645	-	-	
ENSG00000235646	-	-	
ENSG00000235647	-	-	
ENSG00000235649	-	-	
ENSG00000235651	-	-	
ENSG00000235652	-	-	
ENSG00000235653	-	-	
ENSG00000235655	-	-	
