Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000228655	-	-	
ENSG00000228656	-	-	
ENSG00000228657	-	-	
ENSG00000228658	-	-	
ENSG00000228659	LINC01201	TCONS_00017091	
ENSG00000228660	-	-	
ENSG00000228661	STIM1-AS1	-	
ENSG00000228663	-	-	
ENSG00000228664	-	-	
ENSG00000228665	-	-	
ENSG00000228666	-	-	
ENSG00000228667	-	-	
ENSG00000228668	-	-	
ENSG00000228669	-	-	
ENSG00000228670	-	-	
ENSG00000228672	PROB1	C5orf65	
ENSG00000228674	-	-	
ENSG00000228675	-	-	
ENSG00000228677	TTC3-AS1	-	
ENSG00000228679	-	-	
ENSG00000228680	-	-	
ENSG00000228681	-	-	
ENSG00000228682	-	-	
ENSG00000228683	-	-	
ENSG00000228685	-	-	
ENSG00000228686	-	-	
ENSG00000228687	-	-	
ENSG00000228688	-	-	
ENSG00000228689	-	-	
ENSG00000228692	-	-	
ENSG00000228694	-	-	
ENSG00000228695	LOC107987423; CES1P1	CES1A2; CESR; CES1A3; CES4; PCE-3	
ENSG00000228696	LOC100996709; ARL17A; ARL17B	ARL17P1; ARF1P2; ARL17; ARL17A	
ENSG00000228697	LOC101928565	-	
ENSG00000228700	-	-	
ENSG00000228701	TNKS2-AS1	-	
ENSG00000228702	-	-	
ENSG00000228703	-	-	
ENSG00000228704	-	-	
ENSG00000228705	-	-	
ENSG00000228707	-	-	
ENSG00000228708	-	-	
ENSG00000228709	-	-	
ENSG00000228711	-	-	
ENSG00000228714	-	-	
ENSG00000228716	DHFR	DHFRP1; DYR	
ENSG00000228717	-	-	
ENSG00000228718	-	-	
ENSG00000228719	-	-	
ENSG00000228721	-	-	
ENSG00000228723	SRGAP3-AS2	-	
ENSG00000228725	-	-	
ENSG00000228727	SAPCD1	C6orf26; NG23	
ENSG00000228728	-	-	
ENSG00000228729	-	-	
ENSG00000228730	-	-	
ENSG00000228733	-	-	
ENSG00000228734	-	-	
ENSG00000228735	-	-	
ENSG00000228737	-	-	
ENSG00000228739	-	-	
ENSG00000228740	-	-	
ENSG00000228741	SPATA13	ARHGEF29; ASEF2	
ENSG00000228742	-	-	
ENSG00000228744	-	-	
ENSG00000228745	-	-	
ENSG00000228748	-	-	
ENSG00000228750	-	-	
ENSG00000228751	-	-	
ENSG00000228753	-	-	
ENSG00000228754	-	-	
ENSG00000228755	-	-	
ENSG00000228757	-	-	
ENSG00000228759	-	-	
ENSG00000228763	LIMS1-AS1	-	
ENSG00000228764	-	-	
ENSG00000228766	-	-	
ENSG00000228767	-	-	
ENSG00000228768	-	-	
ENSG00000228769	-	-	
ENSG00000228770	-	-	
ENSG00000228771	-	-	
ENSG00000228772	-	-	
ENSG00000228775	WEE2-AS1	-	
ENSG00000228776	-	-	
ENSG00000228777	-	-	
ENSG00000228778	-	-	
ENSG00000228779	-	-	
ENSG00000228780	-	-	
ENSG00000228781	-	-	
ENSG00000228782	-	-	
ENSG00000228783	-	-	
ENSG00000228784	LINC00954	-	
ENSG00000228786	-	-	
ENSG00000228787	NLGN4Y-AS1	NLGN4Y-AS; NLGN4YAS	
ENSG00000228789	HCG22	PBMUCL2	
ENSG00000228790	-	-	
ENSG00000228791	-	-	
ENSG00000228792	-	-	
ENSG00000228793	LOC100507336	-	
ENSG00000228794	LINC01128	-	
ENSG00000228797	-	-	
ENSG00000228798	-	-	
ENSG00000228799	-	-	
ENSG00000228800	-	-	
ENSG00000228801	LOC102724330	-	
ENSG00000228802	-	-	
ENSG00000228803	-	-	
ENSG00000228804	LOC100131635	-	
ENSG00000228806	-	-	
ENSG00000228807	-	-	
ENSG00000228808	-	-	
ENSG00000228809	-	-	
ENSG00000228810	-	-	
ENSG00000228812	LAMA5-AS1	-	
ENSG00000228814	-	-	
ENSG00000228815	-	-	
ENSG00000228816	-	-	
ENSG00000228817	-	-	
ENSG00000228818	-	-	
ENSG00000228819	-	-	
ENSG00000228820	-	-	
ENSG00000228823	-	-	
ENSG00000228824	MIR4500HG	-	
ENSG00000228825	-	-	
ENSG00000228826	-	-	
ENSG00000228827	-	-	
ENSG00000228828	-	-	
ENSG00000228829	-	-	
ENSG00000228830	-	-	
ENSG00000228833	-	-	
ENSG00000228834	-	-	
ENSG00000228835	-	-	
ENSG00000228836	CT45A5	CT45-3; CT455; CT45.5; CT45-6; CT45A6; CT45A7; CT45-4; CT45A3; CT45A4	
ENSG00000228837	-	-	
ENSG00000228838	-	-	
ENSG00000228839	PIK3IP1-DT	PIK3IP1-AS1	
ENSG00000228842	PCDH9-AS2	-	
ENSG00000228843	-	-	
ENSG00000228844	-	-	
ENSG00000228847	-	-	
ENSG00000228848	-	-	
ENSG00000228850	-	-	
ENSG00000228851	-	-	
ENSG00000228852	-	-	
ENSG00000228853	NEGR1-IT1	-	
ENSG00000228855	-	-	
ENSG00000228856	USP17L30	-	
ENSG00000228857	-	-	
ENSG00000228858	-	-	
ENSG00000228860	-	-	
ENSG00000228861	-	-	
ENSG00000228862	-	-	
ENSG00000228863	-	-	
ENSG00000228865	-	-	
ENSG00000228868	-	-	
ENSG00000228869	-	-	
ENSG00000228871	-	-	
ENSG00000228872	-	-	
ENSG00000228873	-	-	
ENSG00000228874	-	-	
ENSG00000228876	-	-	
ENSG00000228877	-	-	
ENSG00000228878	-	-	
ENSG00000228879	-	-	
ENSG00000228882	-	-	
ENSG00000228884	-	-	
ENSG00000228886	-	-	
ENSG00000228887	-	-	
ENSG00000228888	LINC01428	-	
ENSG00000228889	UBAC2-AS1	-	
ENSG00000228890	TTTY21	NCRNA00146	
ENSG00000228897	-	-	
ENSG00000228898	-	-	
ENSG00000228901	-	-	
ENSG00000228902	-	-	
ENSG00000228903	-	-	
ENSG00000228906	-	-	
ENSG00000228909	-	-	
ENSG00000228914	-	-	
ENSG00000228915	-	-	
ENSG00000228917	-	-	
ENSG00000228918	-	-	
ENSG00000228919	LOC389199	-	
ENSG00000228920	-	-	
ENSG00000228922	-	-	
ENSG00000228923	-	-	
ENSG00000228925	-	-	
ENSG00000228927	TSPY3	CT78; TSPY1; TSPY; TSPY10	
ENSG00000228928	-	-	
ENSG00000228929	-	-	
ENSG00000228930	-	-	
ENSG00000228933	-	-	
ENSG00000228935	-	-	
ENSG00000228937	-	-	
ENSG00000228938	-	-	
ENSG00000228939	-	-	
ENSG00000228940	-	-	
ENSG00000228941	-	-	
ENSG00000228943	-	-	
ENSG00000228944	-	-	
ENSG00000228945	-	-	
ENSG00000228948	-	-	
ENSG00000228949	-	-	
ENSG00000228950	-	-	
ENSG00000228951	-	-	
ENSG00000228952	-	-	
ENSG00000228953	-	-	
ENSG00000228955	-	-	
ENSG00000228956	-	-	
ENSG00000228957	-	-	
ENSG00000228958	-	-	
ENSG00000228959	-	-	
ENSG00000228960	-	-	
ENSG00000228961	LINC01690	-	
ENSG00000228962	-	-	
ENSG00000228963	-	-	
ENSG00000228965	-	-	
ENSG00000228966	-	-	
ENSG00000228968	-	-	
ENSG00000228970	-	-	
ENSG00000228971	LINC02607	-	
ENSG00000228972	-	-	
ENSG00000228973	-	-	
ENSG00000228974	-	-	
ENSG00000228976	-	-	
ENSG00000228979	-	-	
ENSG00000228980	LINC01205	-	
ENSG00000228981	-	-	
ENSG00000228982	-	-	
ENSG00000228983	-	-	
ENSG00000228984	-	-	
ENSG00000228985	-	-	
ENSG00000228986	-	-	
ENSG00000228988	-	-	
ENSG00000228989	-	-	
ENSG00000228991	-	-	
ENSG00000228992	-	-	
ENSG00000228995	-	-	
ENSG00000228997	-	-	
ENSG00000228998	-	-	
ENSG00000228999	-	-	
ENSG00000229000	-	-	
ENSG00000229001	-	-	
ENSG00000229002	-	-	
ENSG00000229005	HNF4A-AS1	uc002xlx	
ENSG00000229007	-	-	
ENSG00000229009	-	-	
ENSG00000229010	-	-	
ENSG00000229011	LINC01038	-	
ENSG00000229012	-	-	
ENSG00000229013	-	-	
ENSG00000229014	-	-	
ENSG00000229015	LOC100506790	-	
ENSG00000229016	-	-	
ENSG00000229017	-	-	
ENSG00000229018	-	-	
ENSG00000229019	-	-	
ENSG00000229020	-	-	
ENSG00000229021	-	-	
ENSG00000229022	-	-	
ENSG00000229023	-	-	
ENSG00000229025	-	-	
ENSG00000229027	HSFY1P1	HSFYP1; NCRNA00016; CECR8; HSFYL1	
ENSG00000229028	-	-	
ENSG00000229029	-	-	
ENSG00000229030	-	-	
ENSG00000229031	-	-	
ENSG00000229032	-	-	
ENSG00000229035	-	-	
ENSG00000229036	-	-	
ENSG00000229037	-	-	
ENSG00000229042	LOC101927159	-	
ENSG00000229043	-	-	
ENSG00000229044	-	-	
ENSG00000229046	-	-	
ENSG00000229047	-	-	
ENSG00000229048	-	-	
ENSG00000229051	LINC01788	-	
ENSG00000229052	-	-	
ENSG00000229054	-	-	
ENSG00000229055	-	-	
ENSG00000229056	HECW2-AS1	-	
ENSG00000229057	-	-	
ENSG00000229060	-	-	
ENSG00000229063	-	-	
ENSG00000229064	-	-	
ENSG00000229065	-	-	
ENSG00000229066	-	-	
ENSG00000229067	-	-	
ENSG00000229068	-	-	
ENSG00000229072	-	-	
ENSG00000229079	-	-	
ENSG00000229080	-	-	
ENSG00000229081	-	-	
ENSG00000229082	-	-	
ENSG00000229083	-	-	
ENSG00000229084	-	-	
ENSG00000229086	-	-	
ENSG00000229087	-	-	
ENSG00000229088	-	-	
ENSG00000229089	-	-	
ENSG00000229090	-	-	
ENSG00000229091	-	-	
ENSG00000229092	-	-	
ENSG00000229093	-	-	
ENSG00000229097	-	-	
ENSG00000229101	-	-	
ENSG00000229102	LOC101928739	-	
ENSG00000229104	-	-	
ENSG00000229105	ASTN2-AS1	-	
ENSG00000229106	-	-	
ENSG00000229107	-	-	
ENSG00000229108	-	-	
ENSG00000229109	-	-	
ENSG00000229110	-	-	
ENSG00000229111	MED4-AS1	MED4-AS	
ENSG00000229112	-	-	
ENSG00000229115	-	-	
ENSG00000229116	-	-	
ENSG00000229117	RPL41	L41	
ENSG00000229118	-	-	
