Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000254041	-	-	
ENSG00000254042	-	-	
ENSG00000254043	-	-	
ENSG00000254044	-	-	
ENSG00000254045	-	-	
ENSG00000254046	-	-	
ENSG00000254047	-	-	
ENSG00000254048	-	-	
ENSG00000254049	NRG1-IT3	-	
ENSG00000254050	-	-	
ENSG00000254051	-	-	
ENSG00000254052	-	-	
ENSG00000254053	-	-	
ENSG00000254054	-	-	
ENSG00000254055	LOC105375851	-	
ENSG00000254056	-	-	
ENSG00000254057	-	-	
ENSG00000254060	-	-	
ENSG00000254061	-	-	
ENSG00000254063	-	-	
ENSG00000254064	LOC100507071	-	
ENSG00000254065	-	-	
ENSG00000254066	-	-	
ENSG00000254067	-	-	
ENSG00000254069	-	-	
ENSG00000254070	-	-	
ENSG00000254073	-	-	
ENSG00000254075	-	-	
ENSG00000254076	-	-	
ENSG00000254077	-	-	
ENSG00000254079	-	-	
ENSG00000254080	-	-	
ENSG00000254081	-	-	
ENSG00000254082	-	-	
ENSG00000254083	LINC01591	-	
ENSG00000254084	-	-	
ENSG00000254086	-	-	
ENSG00000254087	LYN	p56Lyn; JTK8; p53Lyn	
ENSG00000254088	-	-	
ENSG00000254089	-	-	
ENSG00000254090	-	-	
ENSG00000254091	-	-	
ENSG00000254092	-	-	
ENSG00000254093	PINX1	LPTL; LPTS; Gno1; Pxr1	
ENSG00000254094	-	-	
ENSG00000254095	-	-	
ENSG00000254097	-	-	
ENSG00000254098	-	-	
ENSG00000254099	-	-	
ENSG00000254100	-	-	
ENSG00000254101	LINC02055	-	
ENSG00000254102	LOC401463	-	
ENSG00000254103	-	-	
ENSG00000254104	-	-	
ENSG00000254105	-	-	
ENSG00000254106	-	-	
ENSG00000254109	RBPMS-AS1	-	
ENSG00000254111	-	-	
ENSG00000254112	-	-	
ENSG00000254113	-	-	
ENSG00000254114	-	-	
ENSG00000254115	-	-	
ENSG00000254117	-	-	
ENSG00000254118	-	-	
ENSG00000254119	-	-	
ENSG00000254120	LINC02155	-	
ENSG00000254122	PCDHGB7	PCDH-GAMMA-B7; ME6	
ENSG00000254123	LINC02839	-	
ENSG00000254124	-	-	
ENSG00000254126	CD8B2	CD8BP	
ENSG00000254127	-	-	
ENSG00000254129	-	-	
ENSG00000254130	LINC01947	CTB-7E3.1	
ENSG00000254131	-	-	
ENSG00000254132	-	-	
