Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000000003	TSPAN6	T245; TM4SF6; TSPAN-6	
ENSG00000000005	TNMD	CHM1L; BRICD4; TEM	
ENSG00000000419	DPM1	MPDS; CDGIE	
ENSG00000000457	SCYL3	PACE-1; PACE1	
ENSG00000000460	C1orf112	-	
ENSG00000000938	FGR	p55c-fgr; p55-Fgr; SRC2; c-src2; p58-Fgr; p58c-fgr; c-fgr	
ENSG00000000971	CFH	ARMS1; FHL1; HUS; CFHL3; FH; HF; AMBP1; HF2; AHUS1; HF1; ARMD4	
ENSG00000001036	FUCA2	dJ20N2.5	
ENSG00000001084	GCLC	GLCLC; GCS; GCL; GLCL	
ENSG00000001167	NFYA	NF-YA; CBF-B; CBF-A; HAP2	
ENSG00000001460	STPG1	C1orf201; MAPO2	
ENSG00000001461	NIPAL3	NPAL3; DJ462O23.2; SLC57A5	
ENSG00000001497	LAS1L	Las1-like; WTS; Las1; dJ475B7.2	
ENSG00000001561	ENPP4	NPP4	
ENSG00000001617	SEMA3F	SEMA-IV; SEMAK; SEMA4	
ENSG00000001626	CFTR	dJ760C5.1; CF; CFTR/MRP; ABC35; TNR-CFTR; ABCC7; MRP7	
ENSG00000001629	ANKIB1	-	
ENSG00000001630	CYP51A1	CYP51; P450L1; P450-14DM; LDM; CP51; CYPL1	
ENSG00000001631	KRIT1	CAM; CCM1	
ENSG00000002016	RAD52	-	
ENSG00000002079	-	-	
ENSG00000002330	BAD	BCL2L8; BBC2	
ENSG00000002549	LAP3	PEPS; LAP; LAPEP; HEL-S-106	
ENSG00000002586	CD99	HBA71; MIC2X; MIC2Y; MIC2; MSK5X	
ENSG00000002587	HS3ST1	3OST; 3OST1	
ENSG00000002726	AOC1	KAO; ABP1; DAO; ABP; DAO1	
ENSG00000002745	WNT16	-	
ENSG00000002746	HECW1	NEDL1	
ENSG00000002822	MAD1L1	TXBP181; TP53I9; MAD1; PIG9	
ENSG00000002834	LASP1	MLN50; Lasp-1	
ENSG00000002919	SNX11	-	
ENSG00000002933	TMEM176A	MS4B1; GS188; HCA112	
ENSG00000003056	M6PR	CD-MPR; MPR46; MPR 46; MPR-46; CD-M6PR; SMPR	
ENSG00000003096	KLHL13	BKLHD2	
ENSG00000003137	CYP26B1	P450RAI-2; P450RAI2; CYP26A2; RHFCA	
ENSG00000003147	ICA1	ICAp69; ICA69	
ENSG00000003249	DBNDD1	-	
ENSG00000003393	ALS2	ALS2CR6; ALSJ; PLSJ; IAHSP	
ENSG00000003400	CASP10	FLICE-2; ALPS2; FLICE2; MCH4	
ENSG00000003402	CFLAR	CASH; I-FLICE; c-FLIPL; c-FLIPS; CLARP; c-FLIP; FLAME-1; MRIT; c-FLIPR; Casper; FLIP; CASP8AP1; FLAME; FLAME1; cFLIP	
ENSG00000003436	TFPI	LACI; EPI; TFI; TFPI1	
ENSG00000003509	NDUFAF7	C2orf56; PRO1853; MidA	
ENSG00000003756	RBM5	RMB5; G15; LUCA-15; H37; LUCA15	
ENSG00000003987	MTMR7	-	
ENSG00000003989	SLC7A2	CAT2; ATRC2; HCAT2	
ENSG00000004059	ARF5	-	
ENSG00000004139	SARM1	SAMD2; HsTIR; SARM; hSARM1; MyD88-5	
ENSG00000004142	POLDIP2	POLD4; p38; PDIP38	
ENSG00000004399	PLXND1	PLEXD1	
ENSG00000004455	AK2	ADK2	
ENSG00000004468	CD38	ADPRC1; ADPRC 1	
ENSG00000004478	FKBP4	FKBP51; HBI; FKBP52; FKBP59; Hsp56; PPIase; p52	
ENSG00000004487	KDM1A	KDM1; LSD1; AOF2; CPRF; BHC110	
ENSG00000004534	RBM6	DEF-3; HLC-11; 3G2; g16; NY-LU-12; DEF3	
ENSG00000004660	CAMKK1	CAMKKA	
ENSG00000004700	RECQL	RECQL1; RecQ1	
ENSG00000004766	VPS50	CCDC132; VPS54L	
ENSG00000004776	HSPB6	Hsp20; PPP1R91; HEL55	
ENSG00000004777	ARHGAP33	NOMA-GAP; SNX26; TCGAP	
ENSG00000004779	NDUFAB1	SDAP; ACP; ACP1; FASN2A	
ENSG00000004799	PDK4	-	
ENSG00000004809	SLC22A16	CT2; FLIPT2; OAT6; OCT6; HEL-S-18; OKB1; dJ261K5.1	
ENSG00000004838	ZMYND10	BLU; CILD22; DNAAF7; FLU	
ENSG00000004846	ABCB5	ABCB5alpha; ABCB5beta; EST422562	
ENSG00000004848	ARX	EIEE1; MRX29; MRX87; MRX54; MRX76; MRX38; PRTS; MRX33; MRX43; ISSX; MRXS1; CT121; MRX32; MRX36	
ENSG00000004864	SLC25A13	NICCD; ARALAR2; CITRIN; CTLN2	
ENSG00000004866	ST7; ST7-OT3	HELG; RAY1; ETS7q; FAM4A; FAM4A1; SEN4; TSG7; ST7; NCRNA00026; ST7OT3	
ENSG00000004897	CDC27	H-NUC; HNUC; APC3; ANAPC3; CDC27Hs; D17S978E; D0S1430E; NUC2	
ENSG00000004939	SLC4A1	RTA1A; WD1; WR; CD233; DI; SW; WD; CHC; EMPB3; SAO; EPB3; FR; SPH4; AE1; BND3	
ENSG00000004948	CALCR	CT-R; CTR1; CTR; CRT	
ENSG00000004961	HCCS	CCHL; LSDMCA1; MCOPS7; MLS	
ENSG00000004975	DVL2	-	
ENSG00000005001	PRSS22	BSSP-4; SP001LA; hBSSP-4	
ENSG00000005007	UPF1	HUPF1; RENT1; pNORF1; smg-2; NORF1	
ENSG00000005020	SKAP2	SAPS; SCAP2; SKAP55R; RA70; PRAP; SKAP-HOM	
ENSG00000005022	SLC25A5	ANT2; T2; AAC2; T3; 2F1	
ENSG00000005059	MCUB	CCDC109B	
ENSG00000005073	HOXA11	RUSAT1; HOX1; HOX1I	
ENSG00000005075	POLR2J	RPB11; RPB11A; RPB11m; POLR2J1; hRPB14	
ENSG00000005100	DHX33	DDX33	
ENSG00000005102	MEOX1	MOX1; KFS2	
ENSG00000005108	THSD7A	-	
ENSG00000005156	LIG3	LIG3alpha; LIG2	
ENSG00000005175	RPAP3	hSpagh; Tah1	
ENSG00000005187	ACSM3	SAH; SA	
ENSG00000005189	REXO5	NEF-sp	
ENSG00000005194	CIAPIN1	Anamorsin; DRE2; PRO0915; CIAE2	
ENSG00000005206	SPPL2B	IMP-4; PSL1; PSH4; IMP4	
ENSG00000005238	FAM214B	KIAA1539	
ENSG00000005243	COPZ2	zeta2-COP	
ENSG00000005249	PRKAR2B	PRKAR2; RII-BETA	
ENSG00000005302	MSL3	MSL3L1; MRSXBA; MRXSBA; MRXS36	
ENSG00000005339	CREBBP	KAT3A; RSTS1; CBP; MKHK1; RSTS	
ENSG00000005379	TSPOAP1	PBR-IP; PRAX-1; RIM-BP1; RIMBP1; PRAX1; BZRAP1	
ENSG00000005381	MPO	-	
ENSG00000005421	PON1	ESA; PON; MVCD5	
ENSG00000005436	GCFC2	DNABF; GCF; TCF9; C2orf3	
ENSG00000005448	WDR54	-	
ENSG00000005469	CROT	COT	
ENSG00000005471	ABCB4	MDR3; PFIC-3; ABC21; GBD1; ICP3; MDR2; MDR2/3; PGY3	
ENSG00000005483	KMT2E	ODLURO; HDCMC04P; MLL5; NKp44L	
ENSG00000005486	RHBDD2	RHBDL7; NPD007	
ENSG00000005513	SOX8	-	
ENSG00000005700	IBTK	BTBD26; BTKI	
ENSG00000005801	ZNF195	ZNFP104; HRF1	
ENSG00000005810	MYCBP2	PHR1; PAM; Myc-bp2; Phr	
ENSG00000005812	FBXL3	FBL3; FBL3A; IDDSFAS; FBXL3A	
ENSG00000005844	ITGAL	LFA-1; CD11A; LFA1A	
ENSG00000005882	PDK2	PDKII; PDHK2	
ENSG00000005884	ITGA3	VCA-2; VL3A; FRP-2; ILNEB; MSK18; GAP-B3; VLA3a; GAPB3; CD49C	
ENSG00000005889	ZFX	ZNF926	
