Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000155886	SLC24A2	NCKX2	
ENSG00000155890	TRIM42	PPP1R40; T4A1	
ENSG00000155893	PXYLP1	HEL124; ACPL2; XYLP	
ENSG00000155897	ADCY8	HBAC1; AC8; ADCY3	
ENSG00000155903	RASA2	GAP1M	
ENSG00000155906	RMND1	COXPD11; C6orf96; bA351K16.3; bA351K16; RMD1	
ENSG00000155918	RAET1L	ULBP6	
ENSG00000155926	SLA	SLAP; SLA1	
ENSG00000155957	TMBIM4	LFG4; GAAP; ZPRO; S1R; CGI-119	
ENSG00000155959	VBP1	HIBBJ46; PFD3; PFDN3; VBP-1	
ENSG00000155961	RAB39B	BGMR; MRX72; WSMN; WSN	
ENSG00000155962	CLIC2	CLCNL2; CLIC2b; MRXS32; XAP121	
ENSG00000155966	AFF2	FMR2P; FMR2; FRAXE; MRX2; OX19	
ENSG00000155970	MICU3	EFHA2	
ENSG00000155974	GRIP1	FRASRS3; GRIP	
ENSG00000155975	VPS37A	PQBP2; HCRP1; SPG53	
ENSG00000155980	KIF5A	NEIMY; SPG10; ALS25; D12S1889; MY050; NKHC	
ENSG00000155984	-	-	
ENSG00000156006	NAT2	AAC2; NAT-2; PNAT	
ENSG00000156009	MAGEA8	MAGE8; CT1.8	
ENSG00000156011	PSD3	EFA6D; EFA6R; HCA67	
ENSG00000156017	CARNMT1	C9orf41; UPF0586	
ENSG00000156026	MCU	C10orf42; HsMCU; CCDC109A	
ENSG00000156030	MIDEAS	ELMSAN1; LSR68; c14_5541; C14orf117; C14orf43	
ENSG00000156042	CFAP70	TTC18; SPGF41	
ENSG00000156049	GNA14	-	
ENSG00000156050	FAM161B	c14_5547; C14orf44	
ENSG00000156052	GNAQ	G-ALPHA-q; GAQ; SWS; CMC1	
ENSG00000156076	WIF1	WIF-1	
ENSG00000156096	UGT2B4	UDPGTH1; HLUG25; UDPGTh-1; UGT2B11; UDPGT2B4	
ENSG00000156097	GPR61	GPCR3; BALGR	
ENSG00000156103	MMP16	MMP-X2; MT-MMP2; MT3-MMP; C8orf57; MT-MMP3	
ENSG00000156110	ADK	AK	
ENSG00000156113	KCNMA1	mSLO1; SAKCA; CADEDS; IEG16; SLO; SLO1; SLO-ALPHA; bA205K10.1; BKTM; KCa1.1; hSlo; LIWAS; MaxiK; PNKD3	
ENSG00000156127	BATF	B-ATF; SFA2; BATF1; SFA-2	
ENSG00000156136	DCK	-	
ENSG00000156140	ADAMTS3	ADAMTS-4; HKLLS3	
ENSG00000156150	ALX3	FND; FND1	
ENSG00000156162	DPY19L4	-	
ENSG00000156170	NDUFAF6	C8orf38; MC1DN17; FRTS5	
ENSG00000156171	DRAM2	WWFQ154; PRO180; TMEM77; CORD21	
ENSG00000156172	C8orf37	MOT25; smalltalk; FAP418; CORD16; BBS21; RP64	
ENSG00000156194	PPEF2	PPP7CB	
ENSG00000156206	CFAP161	C15orf26	
ENSG00000156218	ADAMTSL3	ADAMTSL-3	
ENSG00000156219	ART3	ARTC3	
ENSG00000156222	SLC28A1	CNT1; HCNT1; URCTU	
ENSG00000156232	WHAMM	WHAMM1; WHDC1	
ENSG00000156234	CXCL13	BCA-1; BLR1L; ANGIE; SCYB13; ANGIE2; BCA1; BLC	
ENSG00000156239	N6AMT1	HEMK2; KMT9; PRED28; PrmC; C21orf127; MTQ2; N6AMT; m.HsaHemK2P	
ENSG00000156253	RWDD2B	C21orf6; GL011	
ENSG00000156256	USP16	UBPM; UBP-M	
ENSG00000156261	CCT8	Cctq; PRED71; D21S246; C21orf112	
ENSG00000156265	MAP3K7CL	C21orf7; TAKL-2; TAKL-4; HC21ORF7; TAKL-1; TAK1L; TAKL	
ENSG00000156269	NAA11	ARD1B; ARD2; hARD2	
ENSG00000156273	GRIK1-AS2; BACH1	NCRNA00258; C21orf41; BACH-1; BTBD24	
ENSG00000156282	CLDN17	-	
ENSG00000156284	CLDN8	HEL-S-79	
ENSG00000156298	TSPAN7	MXS1; CCG-B7; TM4SF2; TM4SF2b; CD231; DXS1692E; TALLA-1; A15; MRX58	
ENSG00000156299	TIAM1	TIAM-1	
ENSG00000156304	SCAF4	SRA4; SFRS15	
ENSG00000156313	RPGR	orf15; CRD; CORDX1; COD1; RP3; PCDX; RP15; XLRP3	
ENSG00000156345	CDK20	PNQALRE; CDCH; P42; CCRK	
ENSG00000156374	PCGF6	MBLR; RNF134	
ENSG00000156381	ANKRD9	-	
ENSG00000156384	SFR1	MEIR5; bA373N18.1; C10orf78; MEI5	
ENSG00000156395	SORCS3	SORCS	
ENSG00000156398	SFXN2	SLC56A2	
ENSG00000156411	ATP5MJ	C14orf2; 6.8PL; MLQ; ATP5MPL; MP68; PLPM	
ENSG00000156413	FUT6	Fuc-TVI; FucT-VI; FCT3A; FT1A	
ENSG00000156414	TDRD9	C14orf75; NET54; HIG-1; HLS; SPGF30; SPNE	
ENSG00000156427	FGF18	FGF-18; ZFGF5	
ENSG00000156453	PCDH1	PC42; PCDH42	
ENSG00000156463	SH3RF2	POSHER; PPP1R39; HEPP1; RNF158	
ENSG00000156466	GDF6	BMP-13; SYNS4; KFM; SGM1; KFS; KFS1; CDMP2; KFSL; BMP13	
ENSG00000156467	UQCRB	QP-C; UQBC; UQBP; UQCR6; QCR7; QPC; MC3DN3; UQPC	
ENSG00000156469	MTERF3	CGI-12; MTERFD1	
